,0
1298,AURKAIP1
1299,AURKAP1
1300,AURKA
1301,AURKB
1302,AURKC
1303,AUTS2
1304,AVEN
1305,AVIL
1306,AVL9
1307,AVPI1
1308,AVPR1A
1309,AVPR1B
1310,AVPR2
1311,AVP
1312,AWAT1
1313,AWAT2
1314,AXIN1
1315,AXIN2
1316,AXL
1317,AZGP1
1318,CEP131
1319,AZI2
1320,AZIN1
1321,AZU1
1322,B2M
1323,B3GALNT1
1324,B3GALNT2
1325,B3GALT1
1326,B3GALT2
1327,B3GALT4
1328,B3GALT5
1329,B3GALT6
1330,B3GLCT
1331,B3GAT1
1332,B3GAT2
1333,B3GAT3
1334,B3GNT2___B4GAT1
1335,B3GNT2
1336,B3GNT3
1337,B3GNT4
1338,B3GNT5
1339,B3GNT6
1340,B3GNT7
1341,B3GNT8
1342,B3GNT9
1343,B3GNTL1
1344,B4GALNT1
1345,B4GALNT2
1346,B4GALNT3
1347,B4GALNT4
1348,B4GALT1
1349,B4GALT2
1350,B4GALT3
1351,B4GALT4
1352,B4GALT5
1353,B4GALT6
1354,B4GALT7
1355,B9D1
1356,B9D2
1357,BAALC
1358,BAAT
1359,BACE1
1360,BACE2
1361,BACH1
1362,BACH2
1363,BAD
1364,BAG1
1365,BAG2
1366,BAG3
1367,BAG4
1368,BAG5
1369,BAGE2
1370,BAGE
1371,BAHCC1
1372,BAHD1
1373,ADGRB1
1374,ADGRB2
1375,ADGRB3
1376,BAIAP2L1
1377,BAIAP2L2
1378,BAIAP2
1379,BAIAP3
1380,BAK1
1381,BAMBI
1382,BANF1
1383,BANF2
1384,BANK1
1385,BANP
1386,BAP1
1387,BARD1
1388,BARHL1
1389,BARHL2
1390,BARX1
1391,BARX2
1392,BPIFA4P
1393,BASP1
1394,DDX39B
1395,PRRC2B
1396,PRRC2C
1397,PRRC2A
1398,BAG6
1399,GPANK1
1400,ABHD16A
1401,BATF2
1402,BATF3
1403,BATF
1404,BAX
1405,BAZ1A
1406,BAZ1B
1407,BAZ2A
1408,BAZ2B
1409,BBC3
1410,BBOX1
1411,BBS10
1412,BBS12
1413,BBS1
1414,BBS2
1415,BBS4
1416,BBS5
1417,BBS7
1418,BBS9
1419,BBX
1420,BCAM
1421,BCAN
1422,BCAP29
1423,BCAP31
1424,BCAR1
1425,BCAR3
1426,BCAR4
1427,BCAS1
1428,BCAS2
1429,BCAS3
1430,BCAS4
1431,BCAT1
1432,BCAT2
1433,BCCIP
1434,BCDIN3D
1435,BCHE
1436,BCKDHA
1437,BCKDHB
1438,BCKDK
1439,BCL10
1440,BCL11A
1441,BCL11B
1442,BCL2A1
1443,BCL2L10
1444,BCL2L11
1445,BCL2L12
1446,BCL2L13
1447,BCL2L14
1448,BCL2L15
1449,BCL2L1
1450,BCL2L2
1451,BCL2
1452,BCL3
1453,BCL6B
1454,BCL6
1455,BCL7A
1456,BCL7B
1457,BCL7C
1458,NBEAP1
1459,BCL9L
1460,BCL9
1461,BCLAF1
1462,BCO1
1463,BCO2
1464,BCORL1
1465,BCORP1
1466,BCOR
1467,BCR
1468,BCS1L
1469,BCYRN1
1470,BDH1
1471,BDH2
1472,BDKRB1
1473,BDKRB2
1474,BDNF-AS
1475,BDNF
1476,BDP1
1477,BEAN
1478,BECN1
1479,BEGAIN
1480,BEND2
1481,BEND3
1482,BEND4
1483,BEND5
1484,BEND6
1485,BEND7
1486,BEST1
1487,BEST2
1488,BEST3
1489,BEST4
1490,BET1L
1491,BET1
1492,TRAPPC3L
1493,BEX1
1494,BEX2
1495,BEX4
1496,BEX5
1497,LINC00293
1498,BFAR
1499,BFSP1
1500,BFSP2
1501,BGLAP
1502,BGN
1503,BHLHA15
1504,BHLHB9
1505,BHLHE22
1506,BHLHE23
1507,BHLHE40
1508,BHLHE41
1509,BHMT2
1510,BHMT
1511,BICC1
1512,BICD1
1513,BICD2
1514,BID
1515,BIK
1516,BIN1
1517,BIN2
1518,BIN3
1519,BIRC2
1520,BIRC3
1521,BIRC5
1522,BIRC6
1523,BIRC7
1524,BIRC8
1525,BIVM
1526,BLCAP
1527,BLID
1528,BLK
1529,BLMH
1530,BLM
1531,BLNK
1532,BLOC1S1
1533,BLOC1S2
1534,BLOC1S3
1535,BLVRA
1536,BLVRB
1537,BLZF1
1538,BMF
1539,BMI1
1540,BMP10
1541,BMP15
1542,BMP1
1543,BMP2K
1544,BMP2
1545,BMP3
1546,BMP4
1547,BMP5
1548,BMP6
1549,BMP7
1550,BMP8A
1551,BMP8B
1552,BMPER
1553,BMPR1A
1554,BMPR1B
1555,BMPR2
1556,BMS1P4
1557,BMS1P1
1558,BMS1
1559,BMX
1560,BNC1
1561,BNC2
1562,BNIP1
1563,BNIP2
1564,BNIP3L
1565,BNIP3
1566,BNIPL
1567,BOC
1568,BOD1L1
1569,BOD1
1570,BOK
1571,BOLA1
1572,BOLA2
1573,BOLA3
1574,BOLL
1575,BOP1
1576,BPESC1
1577,BPGM
1578,BPHL
1579,BPIFB2
1580,BPIFC
1581,BPIFB6
1582,BPI
1583,BPNT1
1584,BPTF
1585,BPY2
1586,BRAF
1587,BRAP
1588,BRCA1
1589,BRCA2
1590,BRCC3
1591,BRD1
1592,BRD2
1593,BRD3
1594,BRD4
1595,BRD7P3
1596,BRD7
1597,BRD8
1598,BRD9
1599,BRDT
1600,BREA2
1601,BABAM2
1602,BRF1
1603,BRF2
1604,BRI3BP
1605,BRI3
1606,BRIP1
1607,BRIX1
1608,BRMS1L
1609,BRMS1
1610,MPC1
1611,MPC2
1612,BRPF1
1613,BRPF3
1614,BRS3
1615,BRSK1
1616,BRSK2
1617,BRWD1
1618,BRWD3
1619,BSCL2
1620,BSDC1
1621,BSG
1622,BSND
1623,BSN
1624,BSPH1
1625,BSPRY
1626,BST1
1627,BST2
1628,BSX
1629,BTAF1
1630,BTBD10
1631,BTBD11
1632,SLX4
1633,BTBD16
1634,BTBD17
1635,BTBD18
1636,BTBD19
1637,BTBD1
1638,BTBD2
1639,BTBD3
1640,BTBD6
1641,BTBD7
1642,BTBD8
1643,BTBD9
1644,BTC
1645,BTD
